,tweet,subtask_a
0, she should ask a few native americans what their take on this is,OFF
1, go home you’re drunk ,OFF
2,amazon is investigating chinese employees who are selling internal data to thirdparty sellers looking for an edge in the competitive marketplace  ,NOT
3, someone should'vetaken this piece of shit to a volcano ,OFF
4, obama wanted liberals amp illegals to move into red states,NOT
5, liberals are all kookoo ,OFF
6, oh noes tough shit,OFF
7, was literally just talking about this lol all mass shootings like that have been set ups it’s propaganda used to divide us on major issues like gun control and terrorism,OFF
8, buy more icecream,NOT
9, canada doesn’t need another cuck we already have enough fking up our great country ,OFF
10, it’s not my fault you support gun control,NOT
11, what’s the difference between and one of these men admitted to groping a  year old girl years ago the other is going to be to the scj ,NOT
12, you are a lying corrupt traitor nobody wants to hear anymore of your lies ,OFF
13, it should scare every american she is playing hockey with a warped puck,NOT
14, i like my soda like i like my boarders with a lot of ice,NOT
15, you are also the king of taste,NOT
16, sing like no one is listening love like you've never been hurt vote gop when no one is watching and don't listen to liberals' dirt ,NOT
17, the time is right for this house to respond to the concerns of all canadians four out of five canadians support stronger gun control and with good reason” ,NOT
18, besides jax’s mom and maybe ope he is hands down my favorite he’s like the only good person on the show ,NOT
19, gun control that is all these kids are asking for,OFF
20, lol throwing the bullshit flag on such nonsense ,OFF
21, you are correct,NOT
22, kind of like when conservatives wanna associate everyone to their left as communist antifa members,OFF
23, da fuck is going on people there's the men's room and the women's room pick one and stick w it ,OFF
24, been a willie fan since before most of you were bornlove that he is holding a rally with beto exactly which fans are furious could you give some specifics ,NOT
25, tbh these days i just don't like people in general i just don't connect with people these days just a annoyance,OFF
26,south korean official “leaders will discuss specific denuke measures in pyongyang”  ,NOT
27, you can tell he is a hooper too,NOT
28, i feel like he is better chasing the title,NOT
29, she to whom are you referring to hillary you know what is tiresome bernie supporters bashing hillary clinton she is an actual democrat who raises money for the democratic party and doesn’t bash them she has a positive message so who is dividing the left,OFF
30, glad to see your friends are supporting metis rights as much as you are supporting zionists ,NOT
31, yes you are but i was asking what is it about the movie ‍,NOT
32,the only thing the democrats have is lying and stalling to stop trump from being  what have they done for you lately ,OFF
33, no wonder he is being apologetic and more social these day,NOT
34, any updates re ending your blatant as amp proves you are ,NOT
35, do you know what’s going to happen now i’m going to have to lay in bed and cry while i listen to kelly clarkson thanks free speech antifa,NOT
36, you are not very smart are you why do you think gen flynn’s sentencing keeps being rescheduled ,OFF
37, that's expected if you placate the violent leftiststerrorists ,OFF
38, blow hard,NOT
39, that means you are a max lvl twitter user and maybe should try a new game,NOT
40, please explain what controlled opposition means as for bernier escaping he split with the rest of the conservatives because he's even more racist and exclusionary than they want to be,NOT
