,tweet
0, she should ask a few native americans what their take on this is
1, go home you’re drunk 
2,amazon is investigating chinese employees who are selling internal data to thirdparty sellers looking for an edge in the competitive marketplace  
3, someone should'vetaken this piece of shit to a volcano 
4, obama wanted liberals amp illegals to move into red states
5, liberals are all kookoo 
6, oh noes tough shit
7, was literally just talking about this lol all mass shootings like that have been set ups it’s propaganda used to divide us on major issues like gun control and terrorism
8, buy more icecream
9, canada doesn’t need another cuck we already have enough fking up our great country 
10, it’s not my fault you support gun control
11, what’s the difference between and one of these men admitted to groping a  year old girl years ago the other is going to be to the scj 
12, you are a lying corrupt traitor nobody wants to hear anymore of your lies 
13, it should scare every american she is playing hockey with a warped puck
14, i like my soda like i like my boarders with a lot of ice
15, you are also the king of taste
16, sing like no one is listening love like you've never been hurt vote gop when no one is watching and don't listen to liberals' dirt 
17, the time is right for this house to respond to the concerns of all canadians four out of five canadians support stronger gun control and with good reason” 
18, besides jax’s mom and maybe ope he is hands down my favorite he’s like the only good person on the show 
19, gun control that is all these kids are asking for
20, lol throwing the bullshit flag on such nonsense 
21, you are correct
22, kind of like when conservatives wanna associate everyone to their left as communist antifa members
23, da fuck is going on people there's the men's room and the women's room pick one and stick w it 
24, been a willie fan since before most of you were bornlove that he is holding a rally with beto exactly which fans are furious could you give some specifics 
25, tbh these days i just don't like people in general i just don't connect with people these days just a annoyance
26,south korean official “leaders will discuss specific denuke measures in pyongyang”  
27, you can tell he is a hooper too
28, i feel like he is better chasing the title
29, she to whom are you referring to hillary you know what is tiresome bernie supporters bashing hillary clinton she is an actual democrat who raises money for the democratic party and doesn’t bash them she has a positive message so who is dividing the left
30, glad to see your friends are supporting metis rights as much as you are supporting zionists 
31, yes you are but i was asking what is it about the movie ‍
32,the only thing the democrats have is lying and stalling to stop trump from being  what have they done for you lately 
33, no wonder he is being apologetic and more social these day
34, any updates re ending your blatant as amp proves you are 
35, do you know what’s going to happen now i’m going to have to lay in bed and cry while i listen to kelly clarkson thanks free speech antifa
36, you are not very smart are you why do you think gen flynn’s sentencing keeps being rescheduled 
37, that's expected if you placate the violent leftiststerrorists 
38, blow hard
39, that means you are a max lvl twitter user and maybe should try a new game
40, please explain what controlled opposition means as for bernier escaping he split with the rest of the conservatives because he's even more racist and exclusionary than they want to be
41, socialists politics that stand up for the downtrodden and well done for conflating criticism of israel with anti semitism you are also part of the problem
42, nina one of the reasons i didn't read this book for so long was because i was so worried about her character i should've trusted everyone nina is a goddamn goddess i would die for a thousand times over she is big and bold and lovely and perfect her arc is perfect
43, please vote no on kavanaugh he is not fit for scotus and allegations about women and shady financials should disqualify him matters 
44, ppl who say i'm not racist are racist you are a racist repeat after me
45, kathy the patriot you have to love our great president trump a spine of us steel changing it on trade amp everything for americans amp amp 
46, wow you liberals really don’t have a sense of humor
47, i'm so fucking ready
48, holy moly if the catholic people haven't been awakened by this  
49, lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc
50, what a surprise same as antifa blm and so on and so on soros is americas worst enemy in history he believes the only way to take down the usa is from withing and hes right but it's not gunna happen
51, me too her wedding was the best she is very pretty
52, no conflict here—don’t look at this involved in violent left agenda of antifa also
53,  any of your announcements every come to fruition or is it basically stealing labour's ideas to get a few more votes
54, out of  british people are basically fullon racists  out of  voters vote for the conservatives coincidence
55, advocates must stop falling all over themselves to assure electorate that they too love the horrific a 
56, hi there we love what a huge fan of camila mendes you are would it be alright if we used your tweet about her in our promotional material
57, fuck off
58, certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities i’d like to know if the black population that suffers the most shares her opinion
59, the prison system is so fucked why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like  inmates went missing
60, she is useless attempts to do the right thing but never follows through
61, liberalsyour party is poison 
62, grateful trump doesn’t have a dog in the white house he is a cruel man
63, you are lying stick with the facts we pay more than that now
64, trump kicks dem butt  its so fun
65, he is dumb and dumber all in one president it's a two for one
66, minister attempted to expense £ charity donation it's what do 
67, ur so straight forword man i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior artist love for 
68, and this from the clown that should be in prison
69, did twitter silence alex jones in retaliation of him asking twitter jack questions 
70, thats because you are an old man
71, they are obstructionists antiamerican pharisees ask them what they are running on and you get nothing maga
72, no you're notyou're here  represent the alinskyite orwellian leftist toolampfool view on thingslike  of the marxistsampantifa similar upsst and bu use the words fascist or fascism again go ahead amp read d'souza's book the big lieright now u know squat about either
73, i do remember  but somehow centrist antifahaters can never quite seem to bring themselves to condemn such things
74, i mean it worked for gun control right 
75, i think the last thing on the wh or trump's mind is april ryan she needs to stop flattering herself she's not as important as she thinks she is
76, principled conservatives are 
77, don't forget amp democrat backed 
78, she is a beautiful person to teach values to her kids teaching them they are royalty but keep to keep it from going to their heads stay real 
79, bring out his antifa criminal son to campaign for him
80, i didn’t watch and will not watch watching the september th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a saturday
81,a tear is made of  water and  feelings
82, trump addresses gun control representing the nra i will not let you down he says 
83, she is drinking so much koolaid she’s bloated
84, holder needs to be prosecuted
85, but but both players were women and both were women of color
86, the institution only let her tweet when she behaves she is a window licker
87,babysitting  kids people”how old do you think she is” “she has three kids” medont get mad don’t get mad they don’t know they don’t know
88, well 
89,wtc this is a threat  
90, it's easily digestible content there's no need for nuance or to even understand the story they can show a picture of an antifa and get the base level emotional response their content requires in order to be profitable
91, try looking for plain old democrats the liberals are the ones which you can’t have a conversation with
92, great news old moonbeam just went into a coma 
93, omg he is so extra ily
94, please call trump out for what he isa narcissistic sociopath
95, unfortunately in america a system like that would be called racist liberals believe exams are racist against minority groups
96, i know she is still alivebut wondering if her career was railroaded odd loved herespecially that day
97, guy you are always presentbet why lol
98, what a baby 
99, you are very persuasive fam
100, that's nothing new she was going to vote no anywaywe will vote no to liberals in november 
101, burt a cool dude
102, if you are all in for follow me and i will follow back
103, thank u i’m finally at the point where i’m okay with using heat on it again i’m so happy
104, kind of like what trump does all the time huh
105, because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me
106, fuck em
107, good movehe is the big loser
108, let's get to the bottom of this dm me your zipcode and i'll check it out we have your back and we will make sure you are enjoying the best that tv has to offer asap nevinbruce
109, for the record i know doug jones personally and he is only a sen bc we had no other credible choice he won’t be at the next election
110, the president’s feelings are totally opposite of cnn’s feelings so what does that say about cnn they’re all liberals
111, it's literally a narrative that is on par with nazis punch antifa punch they are two sides of the same coin noooooooo one of these groups wants to exterminate or deport all poc and jews the other just wants to prevent them from doing that and this comparison benefits fash
112, there are many dumb arguments for gun control but this may be the dumbest and most common
113, she is idk what's going on
114, yall need to chill he is having a really abysmal nd half rizzo had an abysmal st half its baseball it happens does he have things he still needs to work on yes has the power numbers dropped yes but he could bounce back at anytime 
115, dude you are old lmao ps go pack go
116, that's why trump supporters can't even wear a hat without being abused if they meet the animals on the left attack them antifa is a branch of the communistsocialistnazis democrat party
117, the laughs i’ve gotten from you are enough 
118, well
119, first of all— they don’t even have pizza at panera
120, please don't kill me antifa on the other hand
121, did you see shanahan say spoon was not  healthy this game obviously no excuses if you’re out there but maybe it’s not the “all is doom” sort of thing it seemed during the game maybe he is still pretty good
122, good girl 
123, she is an ugly black hearted troll 
124, you are clearly not a pokemon master i have almost  in rare candy alone over  legacy moveset pokemon it just all depends on what you like to keep as collection pieces and what you value in the game
125, dont believe the hype
126, followed all new  maga please follow back
127, reported in except these are fan and one says on it getting worse now even as i type doomed to lose but do not realises it soon 
128, liberals would still vote for him they'll claim his comments were taken out of context and that he is still a man of integrity
129, we have been saved from you maga
130, you are bringing up honor and decency with that yoyo in the picture that's rich
131, good riddance
132, she is a goddess
133, omg xd the worst or the best in my case is the best cuase it made me laught part was her asking is he dead does that hurts poor thing and the rest standin there like nope he is no suffering so he is dead yeah pretty dead
134, you can probably imagine all the sjw snowflakes that don't feel safe working where there might be conservatives lurking in the shadows conservatives are now the ruskies of the st century
135, i see may in the same light as yourself even the last election was about her and not the conservatives a split is coming to the tory partyvery soon
136, this all i get damn these haters deleting you ig for no reason 
137, do you think canadian liberals will actually blame trudeau if he costs them this or as per standard push it off on us
138, you warned everyone about josh gordon the last  months on a daily basis i'm sure you are as shocked as i am of what transpired today
139, why can't liberals read read it again 
140, sjshsj thats my job bitch
141, do they discuss haiti
142, what part of no collusion don't you get this is why you are a dumocrat
143, he is very skilled
144, you are amazing 
145, fist pump was for the troops
146, if the reason for farakans illegal values are because he is black or muslim that would be a reason to detest him i believe his illegal values are simply a result of bad character like his supporters
147, let the leftist democrats riot in the streets with their antifa counterparts
148, i thought canada had strict gun control help me understand what is happening
149, they don’t want you following people because they don’t like conservatives sickening how biased twitter’s management is 
150, he is doing life tho
151, it's so very important between now and the midterms to get the word out that all the want people of color to believe is they support them  which as you know is so false how can the word spread even more to those who need to know 
152, antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached
153, have you seen or listened to your antifa pals
154, in case of antifa take a little bat or something good for you more of should do that kind of thing
155, your titles scare me a little bit 
156, gteradicating hiv and malaria in the middle of africa good bloody luck
157, the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one demanding that our float be moved to the back of the parade 
158, and who seems to be getting things done
159,i added a video to a playlist  combat mon frere vs ismael et maga assassin vs david le boxer yfc 
160, so has the law changedyou just make an allegation now days and your guilty until proven innocent liberals are mentally ill
161, straight up different thank joe biden for that one i also wonder the outcome if her name had been antifa hill
162, this game sucks donkey balls
163, yo for real you are gorgeous
164, absolutely should be a nail in the coffin for hilliary
165, i hope he gets on twitter so i can tell him how amazing he is 
166, who are “they” gun control has been tried and is a proven failure this is why people don’t vote democrat they refuse to admit reality gun control doesn’t work
167, so the overwhelming liberals in the populated states can make policy for the rest of america with whom they have no clue about just because california has the biggest population does not mean the us shares in their values get a clue hillary
168, doesn't he partly fund antifa
169, he is a dumbass 
170, and wanting gun control how many of us wonder why the heck do they want our freedoms taken away  or is it just selective freedoms 
171, at this point in time i don't think pres trump gives a sht and neither do i lol 
172, ok conservatives get to the polls vote red
173, donnie jr you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic shame on you and your family justice will prevail
174,a harvardharris poll conducted this year found that  percent of black americans said they would like to see between only one and  legal immigrants brought to the us a year  
175, any doubt that have officially become the national socialist american workers party is gone with ppl like those on and acting as der sturmer and as their einsatzgruppenwaffen ss detachment
176, oh my carmen he is so fricking cute
177, chelsea is as crazy as her mother
178, it's time the and sent 'lyin lynton back to australia
179, the  manifesto promised me my vote back so where is it you think brexit would have gone through if all the brits in the eu had been allowed to vote the referendum was gerrymandered
180, the metoo movement must be an extension of antifa and is a complete joke if this movement wasn't selective joe biden would be in court for fonding girls on camera 
181, you are awesome thank you you give humanity hope
182, goober
183, another uninformed
184, i forgot he is their foster child
185, and the brainless wants us to believe that he doesn't have the majority liberals is just like their leaders the corrupts and both are real bad losers 
186, no fucking way he said this
187, such supposedly smart people didn't think for one moment that in the audience there are people who voted trump and are scared shitless hearing the top brass speak that way
188, i'm not surprised it takes a sick woman to make this type of accusations the kind you can only find on the far left liberals are praying that the really weak members of the gop like collins and flake will pull back their support
189, california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control
190, or where  oct  brazil citizens overwhelming voted “no” on the government implementing strict gun control by a factor of  and the brazilian government still violates that referendum everyday as brazilians are murdered wzero effective method of self defense
191,if we claim to be without sin we deceive ourselves and the truth is not in us if we confess our sins he is faithful and just and will forgive us our sins and purify us from all unrighteousness  john 
192, and yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else but yet they want to have stronger gun control idiots our wonderful media has to hype incidents that fits their agenda
193, yes do hurt your selves gun control freaks
194, you get more like this guy with every hysterical tweet 
195, he always shows dedication at what he does no wonder he is the best 
196, bullshit regulations are good because it keeps conservatives from striping our land into the abyss
197, the owner of my culo
198,now she scarred herself for life lol 
199, you fucking 
200,confirm the man the left wing activist is a liar who's story changes no hard evidence innocent until proven guilty 
201, reagan also signed the first gun control bill as governor of ca
202, awe hogwash do we really need you to overstate the obvious
203, years as a judge extensive backgroundsnot a peeplink to trumpboom do conservatives only rape liberals 
204,i'm assuming i'm not going to get an answer' brainless stooge ocasiocortez  on t policy plan  this is not america's future vote republican or surrender america to these morons 
205, this man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others  i'm waiting for gun control advocates to add this to their list of school shootings  who buys  caliber handguns why 
206, leftists showing yet again how vile they can be
207, he is a drunk crazy man
208, honored to be included with all these fine patriots  thank you rena  dean  
209, please shut up ontario is seeing what conservatives stand for is not helping you loose this province your never going anywhere not they you will any way your completely out of tune with canadian mr harper oops i mean mr scheer common mistake you so much alike
210, you are not alone i was sexually assaulted by a fellow law student in  i never reported it because i didn't think i would be believed however something happened that made me realize i wasn't his only victim then i felt i'd made a colossal mistake
211, but liberals do
212, another terrorist attack not reported by msm
213, dont know who you are so imma just 
214, all that money hadn't made u smarter
215, yes he is from gilmer it makes me laugh so much
216, u both r my lifeline 
217, always thought h ford was a level headed guy guess not note to ford climate change is summerfall winterspring happens every year get over it
218, yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown
219, unfortunately you're right keep it real she is the assault weapon
220, she is real rocky oh my god 
221, thank you to everyone for making this possible you are amazing and so are the beautiful bears i'm a member of olivers army and i appreciate everything you do to make lives better
222, “yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for emily but she guessed jj wouldn’t profile her
223, by the way why don’t you move to haiti  you liberals seem to make shit holes out of large cities so go somewhere where it’s already a shit hole so you don’t have to do any work 
224, yes she is
225, he tried this before and it went nowhere he's  pro gun control done
