,tweet
2,amazon is investigating chinese employees who are selling internal data to thirdparty sellers looking for an edge in the competitive marketplace  
4, obama wanted liberals amp illegals to move into red states
8, buy more icecream
10, it’s not my fault you support gun control
11, what’s the difference between and one of these men admitted to groping a  year old girl years ago the other is going to be to the scj 
13, it should scare every american she is playing hockey with a warped puck
14, i like my soda like i like my boarders with a lot of ice
15, you are also the king of taste
16, sing like no one is listening love like you've never been hurt vote gop when no one is watching and don't listen to liberals' dirt 
17, the time is right for this house to respond to the concerns of all canadians four out of five canadians support stronger gun control and with good reason” 
18, besides jax’s mom and maybe ope he is hands down my favorite he’s like the only good person on the show 
21, you are correct
24, been a willie fan since before most of you were bornlove that he is holding a rally with beto exactly which fans are furious could you give some specifics 
26,south korean official “leaders will discuss specific denuke measures in pyongyang”  
27, you can tell he is a hooper too
28, i feel like he is better chasing the title
30, glad to see your friends are supporting metis rights as much as you are supporting zionists 
31, yes you are but i was asking what is it about the movie ‍
33, no wonder he is being apologetic and more social these day
34, any updates re ending your blatant as amp proves you are 
35, do you know what’s going to happen now i’m going to have to lay in bed and cry while i listen to kelly clarkson thanks free speech antifa
38, blow hard
39, that means you are a max lvl twitter user and maybe should try a new game
40, please explain what controlled opposition means as for bernier escaping he split with the rest of the conservatives because he's even more racist and exclusionary than they want to be
41, socialists politics that stand up for the downtrodden and well done for conflating criticism of israel with anti semitism you are also part of the problem
42, nina one of the reasons i didn't read this book for so long was because i was so worried about her character i should've trusted everyone nina is a goddamn goddess i would die for a thousand times over she is big and bold and lovely and perfect her arc is perfect
43, please vote no on kavanaugh he is not fit for scotus and allegations about women and shady financials should disqualify him matters 
44, ppl who say i'm not racist are racist you are a racist repeat after me
45, kathy the patriot you have to love our great president trump a spine of us steel changing it on trade amp everything for americans amp amp 
46, wow you liberals really don’t have a sense of humor
47, i'm so fucking ready
48, holy moly if the catholic people haven't been awakened by this  
49, lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc
50, what a surprise same as antifa blm and so on and so on soros is americas worst enemy in history he believes the only way to take down the usa is from withing and hes right but it's not gunna happen
51, me too her wedding was the best she is very pretty
52, no conflict here—don’t look at this involved in violent left agenda of antifa also
53,  any of your announcements every come to fruition or is it basically stealing labour's ideas to get a few more votes
55, advocates must stop falling all over themselves to assure electorate that they too love the horrific a 
56, hi there we love what a huge fan of camila mendes you are would it be alright if we used your tweet about her in our promotional material
58, certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities i’d like to know if the black population that suffers the most shares her opinion
61, liberalsyour party is poison 
63, you are lying stick with the facts we pay more than that now
66, minister attempted to expense £ charity donation it's what do 
67, ur so straight forword man i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior artist love for 
69, did twitter silence alex jones in retaliation of him asking twitter jack questions 
72, no you're notyou're here  represent the alinskyite orwellian leftist toolampfool view on thingslike  of the marxistsampantifa similar upsst and bu use the words fascist or fascism again go ahead amp read d'souza's book the big lieright now u know squat about either
73, i do remember  but somehow centrist antifahaters can never quite seem to bring themselves to condemn such things
75, i think the last thing on the wh or trump's mind is april ryan she needs to stop flattering herself she's not as important as she thinks she is
76, principled conservatives are 
77, don't forget amp democrat backed 
78, she is a beautiful person to teach values to her kids teaching them they are royalty but keep to keep it from going to their heads stay real 
79, bring out his antifa criminal son to campaign for him
80, i didn’t watch and will not watch watching the september th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a saturday
81,a tear is made of  water and  feelings
82, trump addresses gun control representing the nra i will not let you down he says 
84, holder needs to be prosecuted
85, but but both players were women and both were women of color
87,babysitting  kids people”how old do you think she is” “she has three kids” medont get mad don’t get mad they don’t know they don’t know
88, well 
90, it's easily digestible content there's no need for nuance or to even understand the story they can show a picture of an antifa and get the base level emotional response their content requires in order to be profitable
91, try looking for plain old democrats the liberals are the ones which you can’t have a conversation with
92, great news old moonbeam just went into a coma 
93, omg he is so extra ily
95, unfortunately in america a system like that would be called racist liberals believe exams are racist against minority groups
96, i know she is still alivebut wondering if her career was railroaded odd loved herespecially that day
97, guy you are always presentbet why lol
98, what a baby 
99, you are very persuasive fam
100, that's nothing new she was going to vote no anywaywe will vote no to liberals in november 
101, burt a cool dude
102, if you are all in for follow me and i will follow back
103, thank u i’m finally at the point where i’m okay with using heat on it again i’m so happy
104, kind of like what trump does all the time huh
105, because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me
108, let's get to the bottom of this dm me your zipcode and i'll check it out we have your back and we will make sure you are enjoying the best that tv has to offer asap nevinbruce
109, for the record i know doug jones personally and he is only a sen bc we had no other credible choice he won’t be at the next election
110, the president’s feelings are totally opposite of cnn’s feelings so what does that say about cnn they’re all liberals
113, she is idk what's going on
114, yall need to chill he is having a really abysmal nd half rizzo had an abysmal st half its baseball it happens does he have things he still needs to work on yes has the power numbers dropped yes but he could bounce back at anytime 
115, dude you are old lmao ps go pack go
116, that's why trump supporters can't even wear a hat without being abused if they meet the animals on the left attack them antifa is a branch of the communistsocialistnazis democrat party
117, the laughs i’ve gotten from you are enough 
118, well
119, first of all— they don’t even have pizza at panera
121, did you see shanahan say spoon was not  healthy this game obviously no excuses if you’re out there but maybe it’s not the “all is doom” sort of thing it seemed during the game maybe he is still pretty good
122, good girl 
124, you are clearly not a pokemon master i have almost  in rare candy alone over  legacy moveset pokemon it just all depends on what you like to keep as collection pieces and what you value in the game
126, followed all new  maga please follow back
127, reported in except these are fan and one says on it getting worse now even as i type doomed to lose but do not realises it soon 
128, liberals would still vote for him they'll claim his comments were taken out of context and that he is still a man of integrity
130, you are bringing up honor and decency with that yoyo in the picture that's rich
131, good riddance
132, she is a goddess
133, omg xd the worst or the best in my case is the best cuase it made me laught part was her asking is he dead does that hurts poor thing and the rest standin there like nope he is no suffering so he is dead yeah pretty dead
135, i see may in the same light as yourself even the last election was about her and not the conservatives a split is coming to the tory partyvery soon
137, do you think canadian liberals will actually blame trudeau if he costs them this or as per standard push it off on us
138, you warned everyone about josh gordon the last  months on a daily basis i'm sure you are as shocked as i am of what transpired today
139, why can't liberals read read it again 
141, do they discuss haiti
143, he is very skilled
144, you are amazing 
145, fist pump was for the troops
148, i thought canada had strict gun control help me understand what is happening
149, they don’t want you following people because they don’t like conservatives sickening how biased twitter’s management is 
150, he is doing life tho
151, it's so very important between now and the midterms to get the word out that all the want people of color to believe is they support them  which as you know is so false how can the word spread even more to those who need to know 
153, have you seen or listened to your antifa pals
154, in case of antifa take a little bat or something good for you more of should do that kind of thing
155, your titles scare me a little bit 
156, gteradicating hiv and malaria in the middle of africa good bloody luck
157, the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one demanding that our float be moved to the back of the parade 
158, and who seems to be getting things done
159,i added a video to a playlist  combat mon frere vs ismael et maga assassin vs david le boxer yfc 
