,tweet
0, she should ask a few native americans what their take on this is
1, go home you’re drunk 
3, someone should'vetaken this piece of shit to a volcano 
5, liberals are all kookoo 
6, oh noes tough shit
7, was literally just talking about this lol all mass shootings like that have been set ups it’s propaganda used to divide us on major issues like gun control and terrorism
9, canada doesn’t need another cuck we already have enough fking up our great country 
12, you are a lying corrupt traitor nobody wants to hear anymore of your lies 
19, gun control that is all these kids are asking for
20, lol throwing the bullshit flag on such nonsense 
22, kind of like when conservatives wanna associate everyone to their left as communist antifa members
23, da fuck is going on people there's the men's room and the women's room pick one and stick w it 
25, tbh these days i just don't like people in general i just don't connect with people these days just a annoyance
29, she to whom are you referring to hillary you know what is tiresome bernie supporters bashing hillary clinton she is an actual democrat who raises money for the democratic party and doesn’t bash them she has a positive message so who is dividing the left
32,the only thing the democrats have is lying and stalling to stop trump from being  what have they done for you lately 
36, you are not very smart are you why do you think gen flynn’s sentencing keeps being rescheduled 
37, that's expected if you placate the violent leftiststerrorists 
54, out of  british people are basically fullon racists  out of  voters vote for the conservatives coincidence
57, fuck off
59, the prison system is so fucked why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like  inmates went missing
60, she is useless attempts to do the right thing but never follows through
62, grateful trump doesn’t have a dog in the white house he is a cruel man
64, trump kicks dem butt  its so fun
65, he is dumb and dumber all in one president it's a two for one
68, and this from the clown that should be in prison
70, thats because you are an old man
71, they are obstructionists antiamerican pharisees ask them what they are running on and you get nothing maga
74, i mean it worked for gun control right 
83, she is drinking so much koolaid she’s bloated
86, the institution only let her tweet when she behaves she is a window licker
89,wtc this is a threat  
94, please call trump out for what he isa narcissistic sociopath
106, fuck em
107, good movehe is the big loser
111, it's literally a narrative that is on par with nazis punch antifa punch they are two sides of the same coin noooooooo one of these groups wants to exterminate or deport all poc and jews the other just wants to prevent them from doing that and this comparison benefits fash
112, there are many dumb arguments for gun control but this may be the dumbest and most common
120, please don't kill me antifa on the other hand
123, she is an ugly black hearted troll 
125, dont believe the hype
129, we have been saved from you maga
134, you can probably imagine all the sjw snowflakes that don't feel safe working where there might be conservatives lurking in the shadows conservatives are now the ruskies of the st century
136, this all i get damn these haters deleting you ig for no reason 
140, sjshsj thats my job bitch
142, what part of no collusion don't you get this is why you are a dumocrat
146, if the reason for farakans illegal values are because he is black or muslim that would be a reason to detest him i believe his illegal values are simply a result of bad character like his supporters
147, let the leftist democrats riot in the streets with their antifa counterparts
152, antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached
160, so has the law changedyou just make an allegation now days and your guilty until proven innocent liberals are mentally ill
162, this game sucks donkey balls
164, absolutely should be a nail in the coffin for hilliary
169, he is a dumbass 
170, and wanting gun control how many of us wonder why the heck do they want our freedoms taken away  or is it just selective freedoms 
171, at this point in time i don't think pres trump gives a sht and neither do i lol 
173, donnie jr you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic shame on you and your family justice will prevail
176, oh my carmen he is so fricking cute
177, chelsea is as crazy as her mother
185, and the brainless wants us to believe that he doesn't have the majority liberals is just like their leaders the corrupts and both are real bad losers 
189, california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control
192, and yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else but yet they want to have stronger gun control idiots our wonderful media has to hype incidents that fits their agenda
193, yes do hurt your selves gun control freaks
196, bullshit regulations are good because it keeps conservatives from striping our land into the abyss
197, the owner of my culo
198,now she scarred herself for life lol 
199, you fucking 
200,confirm the man the left wing activist is a liar who's story changes no hard evidence innocent until proven guilty 
204,i'm assuming i'm not going to get an answer' brainless stooge ocasiocortez  on t policy plan  this is not america's future vote republican or surrender america to these morons 
206, leftists showing yet again how vile they can be
207, he is a drunk crazy man
214, all that money hadn't made u smarter
218, yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown
223, by the way why don’t you move to haiti  you liberals seem to make shit holes out of large cities so go somewhere where it’s already a shit hole so you don’t have to do any work 
230,shouldn't pussy grabbing be the one wearing the gloves while handling food 
233, antifa doesn't beat facsists to try to get them to change their mind  they know it's a lost cause to try to change a fascist's mind they do it to scare them into hiding to demoralize them and to stop the spread of their hateful ideology there is no forcing views on others
235, he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump 
236, truly has got to be the most idiotic thing i've ever seen
238, it does work if you want to control a population australian gun control had no effect on homicides
241, liberals ruin everything
244, that's what happens when you let a liberal get a hold of a gun that would be a good place to start gun control ban liberals from getting guns
245, you look happy maga
251, yet she is fat herself
256, what a joke she is a gem alright she is a racist phony right along with this racist phony that thinks she will follow me from her second account and block me because i speak the truth i could care less about follower's like it's a big party i care that they discriminate 
263, may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens don’t believe all the shit that goes on in your head
267, just looked up his work history he is listed on the board of leading age services aust lasa and comes from medicare local alliancewhat ever the hell that is
274, cause who bitches be playing with god aint give me the gift for nothing
279, coming from the man that threatened to try and kick turmps ass now don't that take a set of ball's
284, getting scared ugly man
289, bitch 
290,amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests
295, yea your the bitch on the right getting smacked 
297, hahaha big thighs is not going to make it
299, had this to say about bill clinton during whitewater it's imperative to make his pattern of revolting behavior clear  piece by painful piece indeed 
300, people are very low iq gdp growth means literally nothing in no way does this translate to higher income for white familes or individuals all that billions goes to companies or government and what jobs did he create labour which pays less than living wage lmao 
302, bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious
303,a bitch built like that could beat my ass all she wants 
305, very pathetic man 
313, you must be talking about hateful conservatives
314, thats correct 
319, this leftist is what is wrong in liberal colleges more ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts 
321, this is great mark the great one levin and candace the great owens together this team is unbeatable they just sent liberals into a frenzy again a whole block of liberal voters just had their heads explode andsadly alyssa milano just wet her pants again great team
322,  tdavis touring the application of and techniques to speed of 
324, i wasn't proposing scare tactics i really meant what i said trump can easily pull the good maga republicans and can easily steal enough votes from gop dem and independents and will bring fresh breath to our rotten politics think about it
325, only a liberal would support a liberal that spent a million to get liberals elected to office  
327, it’s so weirdly vicious and bitter to extrapolate from ‘everyone should have access to decent healthcare’ to ‘liberals think all criminals should be free’ it reveals a pretty brutalist and impenetrable mind
328, what the fuck game are you watching
336, why why are liberals so trashy
340, yes i saw this and i will say tapper kept basket her and she kept coming back with stupid answers and he finally gave up i don’t think he is a big fan of her policies he’s not that stupid please
341, if you go by anything other than he or she you are fucked in the head
345, all you need to know is he is empty inside
348, the liberals are mentally unstable
349, who authorized a search warrant of mr jean home racist what about her drug test this is premediated murder he will not be slandered he is the victim
361, i have heard he is making waves
369, fuck liberals forever
371, once again it's been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the  criminal don't care about gun laws
373, mxm nigger thinks we give a fuck 
374, she is a fake vote her out now she wants sympathy
376,kids from different women from this american jobless men nigerian men you are the bomb
380, this russian agent is a disgrace hey old creep you are going to die in prison you and trump sold america to the russians and it’s time you do the time for your years of crimes scumbag
382, what insanely ridiculous bullshit
384, we shouldn’t be surprised these same pigs worked with neonazis to unmask antifa protestors and the local coverage by shit journos like didn’t cover that at all we had to rely on for investigative coverage 
388, because  of americans are too lazy to vote nonvoters skew liberal and too many liberals who do vote throw their vote away on rd party losers next question
390, i'm sure he doesn't call his gated community's private security firm bull connors though it's funny now liberals love privatization of police
391, wonder how many children he molested
393, oh you are in england your views on gun control stopped mattering in 
394, this is the antifa party amp all of a sudden they expect us to believe they care about anyone besides themselves nope
396, ouch
397, wonder if he apologized to diamond and silk for calling them a “minstrel show” he should have been fired but there he is making faces
398, which is why it’s awesome that kavanaugh didn’t shake that gun control dads hand sorry for kid was killed by a gun but it’s not the future judges fault it happened omg white people in cities are silly
399, john podesta is a spirit cooking pedo here's a photo of him and valerie jarrett in a rather compromising situation 
401, i love the way this pisses off liberals 
403, my auto correct gggrrr she is a crazy witch
404, when i turned the speech on it sounded to me like liberals becoming another nasty party with his personal attacks on various individuals
407, another negative democrat who refuses to disappear
408, as my elected mp could you please explain why is still promoting ideas that the eu have already rejected we've  months to go and nothing appears to be moving onward are like the blind leading the blind 
411, so she can’t be effected by the radiation but killed i hope he mentions lady gaga witch since she is the only known immortal witch and supreme
413, election season trump my dick is the most magnificent dick just tremendous leftists prove it you russian puppet trump whips dick out in fit of senility conservatives vote trump to victory
415, interesting when demoncraps aren't even inventive enough to create their own cartoons this is originally put out by republicans  liberals are the koolaide drinkers and always have been liberals are also the scum of the earth and prove it daily through their lies
423, ajsjjsjdkkdjdk i want him so much he’d literally tell me to die and i’d obey him
426, he’s dead so you are a necrophiliac as well good to knowyou must suck at chess never mind  dimensional chessyou can’t even think one move ahead let alone manychange your twitter handle to dumbaf not even ish
428, they get testy and decide you're a paid shill a lot if you end up hanging around qanon you'll get used to it
431, trump is a very sick man he is toxic and mean spirited
432, voters know is the right side of the gun issue gun control or gun rights the answer may help determine whether nrafinanced rep comstock wins reelection 
433, behaved as an ordinary disposable criminal 
435, she is full of bunk
437, hell did they boycott mcenroethis is too much
439,antiantifa is balls
441, im going hardcore bitch
445, i used to do signifing monkey by heart played it for the wife and she is like what the hell
448, i think she is the one mad she didnt like being called out so she is trying to make them bully me 
450, so she is disgusting to you because she is a rangers fan you are disgusting to me because you support breaking up the union 
452, they should hopefully voters will realise that they could have ended this shitshow well before the midterms
461,  charts she is overall fuck no cardi got ways to go to catch niki
462, i think i missed a few replies here im on a conference call but most of the anti jihadi muslim vets i know would disagree with gun control so this seems odd
463, look at all these racist white liberals freaking out because i said tom arnold has white privileged
464, hubby rushed me shakes fist will flick a pic thru this evening when i feed em again by the way he is still the boss
466, omg  really   liberals ruins everything  
469, wow never thought i'd see the left actually admitting they want to shut down free speech unless it's their own at least they are admitting they are the facist after all they did create the  most facist groupsantifa and kkk
470, rip lmao who knows that's why i'm trying so hard not to expose my shits since they can't never relate anyway
471, bullshit
474, i feel pretty fucked then cuz i started out fine
478, awful
479, i don't know anything about the kkk although i believe the democrats fund them like they always did i think the dems main terror group these days is antifa
482, she is absolutely useless everyone knows it except for her and the media
484, does anyone care what that dirtbag says
485, not a snowballs chance in hell dimwit dem start taking losing like a manerrlike auhm whatever you identify as today we will not tired of see you in november for the you can't stop 
490, hopefully your obesity catches up with you by then
495, my stoned wheat crackers where the hell did they put the stoned wheat crackers
497, just because you can doesn't mean you should great power comes with great responsibility by invoking art  and overriding our judicial processes you're overriding our democracy 
500, thank you for your fortitude and perseverance please give mcconnell a kick in the butt from some of us conservatives
505, yessssshhhhh who else call you shitgull if it were not me or ryme 
509, she’s one of those ‘kooky’ liberals
510, like if you didn’t get fired from espn
513, those students not traumatised by having live shooter drills or distracted by fear of being killed at school are already doing their best send your kid to one of those schools and we might get some action on gun control hypocrite
514, poor sad liberals no hope for them
515,i got more common sense than all of my followers 
516, cbs sez ceo leslie moonves' out on his ass after several allegations he was chasing ass coo joseph iannello will be interim ceo until somebody accuses him of the same thing this 'shit' never ends ooops
520, even if the devil did make every single one of those priests rape children why does the pope refuse to condemn it why didn't he remove from leadership the rapist brought to him
522, i didn’t tweet this lol i needa get my twitter off this shit
528, she is ur screwed trump owns scotus and he will exact a wrath upon enemies after the midterms
531, then haul your fat ass in harms way you druggie
545, anyone can say or write anything about themselves suppose tomorrow she says that she is a prophet and human race needs to follow her what does that tell about her  once i see someone as useless moron i stop giving them any attention you do the same brother she is nobody
550, its so cool that the blind idiot god concept is already a real thing from a religion thousands of years old but peopl ehave to make it a fucking cthulhu reference for retard cred
553, he is delirious
556, rezz is a dumb bitch who will get a rude awakening from bnf in mexico lol 
557,alert candace owens was just attacked by antifa 
561, another dumbass democrat one thing you have to say about this president is he’s not lazy another bullshit story as usual
565, when robyn posts a selfie the world stops for a moment to appreciate it
566, the democrats are so desperate all those ppl threatening sen collins are from ca they will do anything to delay or halt confirmation and reelection is on the line she is desperate the ppl amp gop are quite aware of what is going on
569, so it moves forward damn the facts as long as you keep up the narrative the dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify conservatives or justify the actions of liberals
572, poor baby this is why you and your entire network can not be trusted the only people still watching cnn are brainwashed liberals and demonrats 
579, she is clearly agitated in a defensive stance shit what is she doing here
583, then your gonna get bitten
589, woodword's book is slander he is nothing but a clown tool
590, how many more this country must address sensible gun control this is more than enough vote blue get this garbage cleaned off our streets
591, it appears to be paired with a woohoo so he must think he is on his way to a brothel
592, she is mentally unstable
593, character and clinton cartoon maybe
596, i like that they aren't mincing around with her i do not understand why she is denying doing porn
598, fema has contacted the senator and was toldits a tv hit you take them when you can he is a liar if he had a set he would put on his big girl panties and tell the truth
599, but i thought antifa were actually fascists but this shows rethuglicans are the actual fascists in the room
601, so absurd the left has been fielding violent feminists and communists in the form of antifa to attack the very peaceful transition of power for more than two years i wonder if it will ever occur to you that you are the bad guys i doubt you have the moral fortitude
603,anyone surprised 
606, not if you are from wisconsin and it’s a bubbler and duck duck goose
609, good liberals will allow a rapist to continue serving on a federal district court while his victim continues to suffer butyou saidyou said
610, then why are you pretending to be something your notyou are a phony and all your lies won't change that
619, she mocked sjws and the kkk with extremely clever satire the fact you don’t have a sense of humor or are too stupid to get it is our fault none of that means you get to denigrate or lie about her or her motives she is a native american woman and you are a bigoted misogynist
622, are you saying he is a turkey chocker 
624, such delusional liberals so twisted with hate you can't even acknowledge the us airforce
625, she is better than all this shit she is better than anything 
628, damn what i would do to be able to eat that pussy
630, what exactly is it about willy that anyone with half a brain would consider conservative the guy is literally a poster child for liberals
634, queen of rap other bitches can knot relate
639, i would be worse than her licking that ass
